created_date,price_value,price_value_id,status
2020-04-19 21:34:18.611656,Marshall Islands,104,enabled
2020-04-19 21:34:18.614129,Mauritania,105,enabled
2020-04-19 21:34:18.874276,Mauritius,106,enabled
2020-04-19 21:34:18.878132,Mexico,107,enabled
2020-04-19 21:34:18.881233,Micronesia,108,enabled
2020-04-19 21:34:18.883536,Moldova,109,enabled
2020-04-19 21:34:18.885823,Monaco,110,enabled
2020-04-19 21:34:18.8883,Mongolia,111,enabled
2020-04-19 21:34:18.891074,Montenegro,112,enabled
2020-04-19 21:34:18.893662,Morocco,113,enabled
2020-04-19 21:34:18.896266,Mozambique,114,enabled
2020-04-19 21:34:19.182056,Namibia,115,enabled
2020-04-19 21:34:19.194568,Nauru,116,enabled
2020-04-19 21:34:19.198513,Nepal,117,enabled
2020-04-19 21:34:19.201763,Netherlands,118,enabled
2020-04-19 21:34:19.204903,New Zealand,119,enabled
2020-04-19 21:34:19.207717,Nicaragua,120,enabled
2020-04-19 21:34:19.209932,Niger,121,enabled
2020-04-19 21:34:19.212358,Nigeria,122,enabled
2020-04-19 21:34:19.215152,Norway,123,enabled
2020-04-19 21:34:19.217614,Oman,124,enabled
2020-04-19 21:34:19.446791,Pakistan,125,enabled
2020-04-19 21:34:19.450967,Palau,126,enabled
2020-04-19 21:34:19.460154,Panama,127,enabled
2020-04-19 21:34:19.464839,Papua New Guinea,128,enabled
2020-04-19 21:34:19.471927,Paraguay,129,enabled
2020-04-19 21:34:19.475235,Peru,130,enabled
2020-04-19 21:34:19.477971,Philippines,131,enabled
2020-04-19 21:34:19.480217,Poland,132,enabled
2020-04-19 21:34:23.279979,Portugal,133,enabled
2020-04-19 21:38:05.795195,Qatar,134,enabled
2020-04-19 21:38:05.816334,Romania,135,enabled
2020-04-19 21:38:05.837483,Russia,136,enabled
2020-04-19 21:38:05.85737,Rwanda,137,enabled
2020-04-19 21:38:05.878712,Samoa,138,enabled
2020-04-19 21:38:05.901339,San Marino,139,enabled
2020-04-19 21:38:05.927181,Saudi Arabia,140,enabled
2020-04-19 21:38:05.945911,Senegal,141,enabled
2020-04-19 21:38:05.966822,Seychelles,142,enabled
2020-04-19 21:38:05.991062,Sierra Leone,143,enabled
2020-04-19 21:38:06.105373,Singapore,144,enabled
2020-04-19 21:38:06.108324,Slovenia,145,enabled
2020-04-19 21:38:06.110617,Solomon Islands,146,enabled
2020-04-19 21:38:06.11342,Somalia,147,enabled
2020-04-19 21:38:06.13852,South Africa,148,enabled
2020-04-19 21:38:06.157635,South Sudan,149,enabled
2020-04-19 21:38:06.198878,Spain,150,enabled
2020-04-19 21:38:06.20219,Sri Lanka,151,enabled
2020-04-19 21:38:06.223036,Sudan,152,enabled
2020-04-19 21:38:06.24491,Suriname,153,enabled
2020-04-19 21:38:06.384073,Sweden,154,enabled
2020-04-19 21:38:06.512867,Syria,155,enabled
2020-04-19 21:38:06.515319,Tajikistan,156,enabled
2020-04-19 21:38:06.517342,Tanzania,157,enabled
2020-04-19 21:38:06.519153,Taiwan (China),158,enabled
2020-04-19 21:38:06.521015,Thailand,159,enabled
2020-04-19 21:38:06.522973,Timor-Leste,160,enabled
2020-04-19 21:38:06.524624,Togo,161,enabled
2020-04-19 21:38:06.526197,Tonga,162,enabled
2020-04-19 21:38:06.528192,Trinidad and Tobago,163,enabled
2020-04-19 21:38:06.530043,Tunisia,164,enabled
2020-04-19 21:38:06.823246,Turkey,165,enabled
2020-04-19 21:38:06.825248,Turkmenistan,166,enabled
2020-04-19 21:38:06.827025,Tuvalu,167,enabled
2020-04-19 21:38:06.828868,Uganda,168,enabled
2020-04-19 21:38:06.830761,Ukraine,169,enabled
2020-04-19 21:38:06.832938,United Arab Emirates,170,enabled
2020-04-19 21:38:06.834975,United Kingdom,171,enabled
2020-04-19 21:38:06.836911,United States,172,enabled
2020-04-19 21:38:06.83874,Uruguay,173,enabled
2020-04-19 21:38:06.840562,Uzbekistan,174,enabled
2020-04-19 21:38:06.913339,Vanuatu,175,enabled
2020-04-19 21:38:07.096573,Venezuela,176,enabled
2020-04-19 21:38:07.098694,Vietnam,177,enabled
2020-04-19 21:38:07.100417,Yemen,178,enabled
2020-04-19 21:38:07.102387,Zambia,179,enabled
2020-04-19 21:38:09.085448,Zimbabwe,180,enabled
2020-04-20 13:49:25.789853, ,181,enabled
2020-04-19 21:21:34.161382,Global,1,enabled
